,total_albums_artist,users_have,users_want,user_rating,total_rating,lowest_price,median_price,highest_price,total_versions,years_since_release,rarity,rarity_1,rarity_2
0,62.0,33460.0,10294.0,4.66,3245.0,10.0,28.98,250.0,111.0,49,0.30765092647937836,3.2504371478531184,1142634.0
1,157.0,1498.0,1015.0,4.54,137.0,22.56,50.48,72.12,5.0,55,0.677570093457944,1.4758620689655173,5075.0
2,157.0,978.0,899.0,4.52,122.0,9.02,45.11,89.99,27.0,53,0.9192229038854806,1.0878754171301446,24273.0
3,62.0,3822.0,1115.0,4.52,361.0,11.36,18.18,75.0,22.0,47,0.29173207744636315,3.4278026905829595,24530.0
4,120.0,4508.0,1077.0,4.35,531.0,5.68,17.05,39.77,18.0,45,0.23890860692102928,4.185701021355618,19386.0
5,21.0,25762.0,2867.0,4.44,2365.0,4.97,16.8,33.61,197.0,40,0.11128794348264887,8.985699337286363,564799.0
7,61.0,752.0,1034.0,4.55,108.0,37.84,114.86,202.64,22.0,51,1.375,0.7272727272727273,22748.0
8,157.0,931.0,731.0,4.47,80.0,32.45,91.23,216.35,6.0,54,0.7851772287862513,1.2735978112175104,4386.0
9,61.0,1342.0,1064.0,4.48,148.0,8.52,32.58,198.86,67.0,53,0.7928464977645305,1.2612781954887218,71288.0
11,60.0,9788.0,787.0,4.41,984.0,3.4,14.43,28.41,62.0,37,0.08040457703310176,12.437102922490471,48794.0
12,157.0,3179.0,1655.0,4.65,396.0,27.0,105.19,590.91,27.0,56,0.520603963510538,1.920845921450151,44685.0
13,155.0,1840.0,3586.0,4.73,315.0,39.99,132.72,299.95,7.0,63,1.9489130434782609,0.5131065253764641,25102.0
14,95.0,5945.0,2140.0,4.64,600.0,10.0,34.0,125.0,14.0,50,0.3599663582842725,2.77803738317757,29960.0
15,157.0,2747.0,1677.0,4.57,335.0,13.57,40.72,176.47,30.0,57,0.6104841645431379,1.6380441264162195,50310.0
16,61.0,387.0,834.0,4.35,46.0,22.72,45.45,90.91,6.0,52,2.1550387596899223,0.46402877697841727,5004.0
17,40.0,1475.0,822.0,4.38,198.0,13.56,31.9,190.05,9.0,42,0.5572881355932203,1.794403892944039,7398.0
18,24.0,2926.0,555.0,3.98,328.0,5.68,11.35,14.2,26.0,46,0.18967874231032125,5.272072072072072,14430.0
19,62.0,129.0,496.0,4.2,10.0,6.77,10.86,24.99,2.0,45,3.8449612403100777,0.2600806451612903,992.0
20,17.0,3543.0,4730.0,4.55,483.0,5.0,230.0,499.0,13.0,35,1.3350268134349421,0.7490486257928118,61490.0
21,3.0,11359.0,1270.0,4.3,825.0,4.43,14.2,31.82,67.0,38,0.11180561669161018,8.944094488188977,85090.0
22,36.0,4161.0,2080.0,4.48,491.0,14.2,65.0,181.82,58.0,52,0.4998798365777457,2.0004807692307693,120640.0
23,157.0,20890.0,3291.0,4.35,1720.0,7.5,17.97,148.0,72.0,52,0.1575394925801819,6.3476147067760555,236952.0
24,89.0,6463.0,418.0,4.1,505.0,3.0,9.38,23.99,87.0,38,0.06467584712981587,15.461722488038278,36366.0
25,8.0,4003.0,764.0,4.49,527.0,0.95,3.0,8.0,42.0,28,0.19085685735698227,5.239528795811518,32088.0
26,157.0,6470.0,326.0,4.35,598.0,2.26,14.54,31.53,83.0,49,0.05038639876352396,19.846625766871167,27058.0
27,60.0,13969.0,5808.0,4.54,1279.0,3.95,20.49,79.99,19.0,55,0.415777793686019,2.4051308539944904,110352.0
28,71.0,2450.0,491.0,4.16,113.0,8.11,16.62,40.54,1.0,35,0.2004081632653061,4.989816700610998,491.0
29,38.0,6160.0,911.0,4.53,1011.0,1.53,3.97,9.99,85.0,25,0.14788961038961038,6.761800219538968,77435.0
30,62.0,4056.0,734.0,4.36,421.0,2.26,17.48,28.2,54.0,51,0.1809664694280079,5.525885558583107,39636.0
31,157.0,5493.0,257.0,4.29,546.0,7.38,16.48,22.73,90.0,49,0.046786819588567265,21.373540856031127,23130.0
32,83.0,4240.0,816.0,4.46,370.0,7.84,14.2,44.2,29.0,50,0.19245283018867926,5.196078431372549,23664.0
33,61.0,8641.0,4156.0,4.33,745.0,9.02,39.88,128.96,71.0,49,0.4809628515218146,2.079162656400385,295076.0
34,85.0,4196.0,885.0,4.25,353.0,11.28,20.84,39.47,24.0,47,0.21091515729265967,4.741242937853107,21240.0
35,45.0,15878.0,1209.0,4.17,1431.0,3.41,11.34,41.83,96.0,43,0.0761430910694042,13.133167907361456,116064.0
37,64.0,4766.0,766.0,4.42,465.0,3.18,17.04,31.82,31.0,38,0.16072177926982795,6.221932114882507,23746.0
38,60.0,5220.0,462.0,4.26,447.0,4.51,11.28,28.2,29.0,44,0.08850574712643679,11.2987012987013,13398.0
39,134.0,2382.0,1104.0,4.63,281.0,43.77,73.86,113.64,16.0,36,0.4634760705289673,2.157608695652174,17664.0
40,19.0,9570.0,2584.0,4.52,1000.0,22.61,39.2,102.16,50.0,43,0.27001044932079415,3.7035603715170278,129200.0
41,30.0,589.0,1166.0,4.51,81.0,25.0,57.5,225.0,4.0,55,1.9796264855687606,0.5051457975986278,4664.0
42,157.0,19089.0,3417.0,4.36,1163.0,4.0,22.5,185.0,29.0,55,0.179003614647179,5.586479367866549,99093.0
43,11.0,1248.0,353.0,4.12,102.0,1.02,7.95,20.45,22.0,52,0.2828525641025641,3.535410764872521,7766.0
44,61.0,11281.0,5393.0,4.48,1047.0,20.27,60.81,22.73,109.0,47,0.47806045563336586,2.091785648062303,587837.0
45,21.0,21775.0,3330.0,4.29,2127.0,4.07,13.64,33.94,188.0,35,0.1529276693455798,6.539039039039039,626040.0
46,80.0,9463.0,3922.0,4.41,767.0,13.51,34.09,108.11,52.0,51,0.4144563034978337,2.412799592044875,203944.0
47,134.0,2753.0,1071.0,4.57,298.0,32.95,67.05,113.64,11.0,38,0.3890301489284417,2.570494864612512,11781.0
48,107.0,7048.0,1741.0,4.42,498.0,6.66,39.5,150.0,19.0,51,0.24702043132803633,4.048248133256749,33079.0
50,95.0,13144.0,1078.0,4.02,1190.0,3.5,9.3,21.98,112.0,39,0.08201460742544127,12.192949907235622,120736.0
51,18.0,2121.0,538.0,4.26,181.0,4.43,22.72,56.81,14.0,45,0.2536539368222537,3.942379182156134,7532.0
52,8.0,7184.0,7470.0,4.7,1183.0,74.66,183.64,339.77,7.0,43,1.0398106904231625,0.9617135207496653,52290.0
53,194.0,3215.0,1259.0,4.58,357.0,9.99,20.49,75.0,16.0,53,0.391601866251944,2.5536139793486896,20144.0
55,11.0,2494.0,181.0,4.03,208.0,3.11,5.53,11.28,41.0,50,0.07257417802726544,13.779005524861878,7421.0
56,60.0,659.0,618.0,4.47,89.0,10.23,17.05,39.77,5.0,51,0.9377845220030349,1.0663430420711975,3090.0
57,43.0,4512.0,713.0,3.96,416.0,2.0,11.82,30.0,23.0,39,0.15802304964539007,6.328190743338008,16399.0
58,38.0,248.0,344.0,4.56,34.0,15.79,28.65,60.0,2.0,40,1.3870967741935485,0.7209302325581395,688.0
59,40.0,7770.0,1629.0,4.34,722.0,7.0,32.5,68.99,7.0,43,0.20965250965250964,4.769797421731123,11403.0
60,36.0,3421.0,5465.0,4.54,586.0,95.02,271.49,153.85,19.0,52,1.5974861151710027,0.6259835315645014,103835.0
61,11.0,7781.0,530.0,4.27,530.0,3.0,8.99,20.0,41.0,46,0.06811463822130831,14.681132075471698,21730.0
